BEN,TIME,NODE
0.0,133.0,1.0
8.0,175.0,2.0
20.0,311.0,2.0
0.0,108.0,1.0
5.0,155.0,2.0
0.0,138.0,1.0
0.0,26.0,1.0
0.0,19.0,1.0
10.0,59.0,2.0
15.0,49.0,2.0
0.0,19.0,1.0
11.0,40.0,2.0
0.0,18.0,1.0
18.0,38.0,2.0
0.0,18.0,1.0
0.0,23.0,1.0
0.0,50.0,1.0
0.0,24.0,1.0
26.0,46.0,2.0
9.0,41.0,2.0
0.0,17.0,1.0
5.0,44.0,2.0
6.0,45.0,2.0
0.0,34.0,1.0
1.0,45.0,2.0
4.0,53.0,2.0
14.0,42.0,2.0
0.0,21.0,1.0
0.0,21.0,1.0
0.0,20.0,1.0
8.0,36.0,2.0
5.0,39.0,2.0
0.0,19.0,1.0
0.0,17.0,1.0
0.0,21.0,1.0
0.0,32.0,1.0
16.0,121.0,2.0
0.0,28.0,1.0
0.0,31.0,1.0
7.0,46.0,2.0
24.0,69.0,2.0
0.0,34.0,1.0
10.0,40.0,2.0
0.0,35.0,1.0
2.0,49.0,2.0
0.0,36.0,1.0
0.0,28.0,1.0
5.0,41.0,2.0
0.0,19.0,1.0
0.0,20.0,1.0
5.0,136.0,2.0
0.0,22.0,1.0
0.0,22.0,1.0
14.0,50.0,2.0
9.0,51.0,2.0
0.0,23.0,1.0
0.0,20.0,1.0
11.0,77.0,2.0
12.0,87.0,2.0
4.0,60.0,2.0
0.0,23.0,1.0
0.0,21.0,1.0
0.0,29.0,1.0
0.0,34.0,1.0
0.0,35.0,1.0
30.0,61.0,3.0
0.0,21.0,1.0
0.0,20.0,1.0
2.0,51.0,2.0
12.0,84.0,2.0
0.0,23.0,1.0
4.0,35.0,2.0
0.0,22.0,1.0
15.0,41.0,2.0
10.0,50.0,2.0
0.0,20.0,1.0
0.0,18.0,1.0
6.0,35.0,2.0
22.0,41.0,2.0
2.0,61.0,2.0
5.0,39.0,2.0
0.0,22.0,1.0
0.0,18.0,1.0
14.0,34.0,2.0
20.0,36.0,2.0
5.0,37.0,2.0
20.0,42.0,2.0
0.0,21.0,1.0
13.0,47.0,2.0
20.0,45.0,2.0
14.0,47.0,2.0
5.0,35.0,2.0
0.0,23.0,1.0
0.0,19.0,1.0
0.0,20.0,1.0
0.0,19.0,1.0
0.0,21.0,1.0
3.0,39.0,2.0
8.0,34.0,2.0
0.0,18.0,1.0
